date,channel,category,customer_type,region,sales_u,online_orders
2026-06-01,온라인,식품,기존,,16,3200
2026-06-01,온라인,식품,신규,,5,1000
2026-06-01,온라인,생활용품,기존,,9,1800
2026-06-01,온라인,생활용품,신규,,5,1000
2026-06-01,온라인,뷰티,기존,,8,1600
2026-06-01,온라인,뷰티,신규,,6,1200
2026-06-01,온라인,가전,기존,,8,1600
2026-06-01,온라인,가전,신규,,4,800
2026-06-01,오프라인,식품,기존,수도권,8,
2026-06-01,오프라인,식품,기존,영남,4,
2026-06-01,오프라인,식품,기존,충청,4,
2026-06-01,오프라인,식품,기존,호남,2,
2026-06-01,오프라인,식품,신규,수도권,2,
2026-06-01,오프라인,식품,신규,영남,1,
2026-06-01,오프라인,식품,신규,호남,1,
2026-06-01,오프라인,생활용품,기존,수도권,7,
2026-06-01,오프라인,생활용품,기존,영남,4,
2026-06-01,오프라인,생활용품,기존,충청,1,
2026-06-01,오프라인,생활용품,기존,호남,1,
2026-06-01,오프라인,생활용품,신규,수도권,1,
2026-06-01,오프라인,생활용품,신규,영남,1,
2026-06-01,오프라인,뷰티,기존,수도권,3,
2026-06-01,오프라인,뷰티,기존,영남,2,
2026-06-01,오프라인,뷰티,기존,호남,1,
2026-06-01,오프라인,뷰티,신규,수도권,1,
2026-06-01,오프라인,뷰티,신규,영남,1,
2026-06-01,오프라인,가전,기존,수도권,3,
2026-06-01,오프라인,가전,기존,영남,2,
2026-06-01,오프라인,가전,기존,호남,1,
2026-06-01,오프라인,가전,신규,수도권,1,
2026-06-01,B2B,식품,기존,,7,
2026-06-01,B2B,식품,신규,,1,
2026-06-01,B2B,생활용품,기존,,7,
2026-06-01,B2B,생활용품,신규,,1,
2026-06-01,B2B,뷰티,기존,,1,
2026-06-01,B2B,가전,기존,,11,
2026-06-01,B2B,가전,신규,,2,
2026-06-02,온라인,식품,기존,,16,3200
2026-06-02,온라인,식품,신규,,5,1000
2026-06-02,온라인,생활용품,기존,,10,2000
2026-06-02,온라인,생활용품,신규,,5,1000
2026-06-02,온라인,뷰티,기존,,8,1600
2026-06-02,온라인,뷰티,신규,,6,1200
2026-06-02,온라인,가전,기존,,7,1400
2026-06-02,온라인,가전,신규,,4,800
2026-06-02,오프라인,식품,기존,수도권,8,
2026-06-02,오프라인,식품,기존,영남,4,
2026-06-02,오프라인,식품,기존,충청,4,
2026-06-02,오프라인,식품,기존,호남,2,
2026-06-02,오프라인,식품,신규,수도권,2,
2026-06-02,오프라인,식품,신규,영남,1,
2026-06-02,오프라인,생활용품,기존,수도권,7,
2026-06-02,오프라인,생활용품,기존,영남,4,
2026-06-02,오프라인,생활용품,기존,충청,1,
2026-06-02,오프라인,생활용품,기존,호남,1,
2026-06-02,오프라인,생활용품,신규,수도권,1,
2026-06-02,오프라인,생활용품,신규,영남,1,
2026-06-02,오프라인,뷰티,기존,수도권,3,
2026-06-02,오프라인,뷰티,기존,영남,2,
2026-06-02,오프라인,뷰티,기존,호남,1,
2026-06-02,오프라인,뷰티,신규,수도권,1,
2026-06-02,오프라인,뷰티,신규,영남,1,
2026-06-02,오프라인,가전,기존,수도권,3,
2026-06-02,오프라인,가전,기존,영남,1,
2026-06-02,오프라인,가전,기존,호남,1,
2026-06-02,오프라인,가전,신규,수도권,1,
2026-06-02,B2B,식품,기존,,7,
2026-06-02,B2B,식품,신규,,1,
2026-06-02,B2B,생활용품,기존,,7,
2026-06-02,B2B,생활용품,신규,,1,
2026-06-02,B2B,뷰티,기존,,2,
2026-06-02,B2B,뷰티,신규,,1,
2026-06-02,B2B,가전,기존,,10,
2026-06-02,B2B,가전,신규,,1,
2026-06-03,온라인,식품,기존,,15,3000
