date,channel,category,customer_type,region,sales_u,online_orders
2026-01-01,온라인,식품,신규,,4,800
2026-01-01,온라인,식품,기존,,14,2800
2026-01-01,온라인,생활용품,신규,,3,600
2026-01-01,온라인,생활용품,기존,,12,2400
2026-01-01,온라인,뷰티,신규,,3,600
2026-01-01,온라인,뷰티,기존,,8,1600
2026-01-01,온라인,가전,신규,,4,800
2026-01-01,온라인,가전,기존,,8,1600
2026-01-01,오프라인,식품,신규,수도권,2,
2026-01-01,오프라인,식품,신규,영남,1,
2026-01-01,오프라인,식품,신규,호남,0,
2026-01-01,오프라인,식품,신규,충청,0,
2026-01-01,오프라인,식품,기존,수도권,8,
2026-01-01,오프라인,식품,기존,영남,5,
2026-01-01,오프라인,식품,기존,호남,2,
2026-01-01,오프라인,식품,기존,충청,1,
2026-01-01,오프라인,생활용품,신규,수도권,1,
2026-01-01,오프라인,생활용품,신규,영남,0,
2026-01-01,오프라인,생활용품,신규,호남,0,
2026-01-01,오프라인,생활용품,신규,충청,0,
2026-01-01,오프라인,생활용품,기존,수도권,5,
2026-01-01,오프라인,생활용품,기존,영남,3,
2026-01-01,오프라인,생활용품,기존,호남,1,
2026-01-01,오프라인,생활용품,기존,충청,1,
2026-01-01,오프라인,뷰티,신규,수도권,0,
2026-01-01,오프라인,뷰티,신규,영남,0,
2026-01-01,오프라인,뷰티,신규,호남,0,
2026-01-01,오프라인,뷰티,신규,충청,0,
2026-01-01,오프라인,뷰티,기존,수도권,3,
2026-01-01,오프라인,뷰티,기존,영남,1,
2026-01-01,오프라인,뷰티,기존,호남,1,
2026-01-01,오프라인,뷰티,기존,충청,0,
2026-01-01,오프라인,가전,신규,수도권,1,
2026-01-01,오프라인,가전,신규,영남,0,
2026-01-01,오프라인,가전,신규,호남,0,
2026-01-01,오프라인,가전,신규,충청,0,
2026-01-01,오프라인,가전,기존,수도권,3,
2026-01-01,오프라인,가전,기존,영남,2,
2026-01-01,오프라인,가전,기존,호남,1,
2026-01-01,오프라인,가전,기존,충청,0,
2026-01-01,B2B,식품,신규,,1,
2026-01-01,B2B,식품,기존,,9,
2026-01-01,B2B,생활용품,신규,,1,
2026-01-01,B2B,생활용품,기존,,6,
2026-01-01,B2B,뷰티,신규,,0,
2026-01-01,B2B,뷰티,기존,,2,
